trial_id,extinction_year,primary_cause,subcategory,project_rebase
0,10.3,Nuclear Exchange,Great Power Direct Conflict,False
1,66.2,Nuclear Exchange,Great Power Direct Conflict,False
2,29.0,Nuclear Exchange,Automated Response Failure,False
3,20.1,Nuclear Exchange,False Alarm Launch,False
4,3.7,Nuclear Exchange,Regional Escalation Cascade,False
5,3.7,Nuclear Exchange,Automated Response Failure,False
6,44.2,Nuclear Exchange,Automated Response Failure,False
7,20.2,Nuclear Exchange,Great Power Direct Conflict,False
8,27.1,Nuclear Exchange,Regional Escalation Cascade,False
9,77.1,Nuclear Exchange,Automated Response Failure,False
10,39.3,Nuclear Exchange,Great Power Direct Conflict,False
11,5.3,Nuclear Exchange,Automated Response Failure,False
12,4.4,Nuclear Exchange,Great Power Direct Conflict,False
13,4.5,Nuclear Exchange,Regional Escalation Cascade,False
14,8.0,Nuclear Exchange,Regional Escalation Cascade,False
15,16.4,Nuclear Exchange,Great Power Direct Conflict,False
16,12.4,Nuclear Exchange,False Alarm Launch,False
17,7.6,Nuclear Exchange,Automated Response Failure,False
18,20.8,Nuclear Exchange,False Alarm Launch,False
19,3.3,Nuclear Exchange,Automated Response Failure,False
20,7.6,Nuclear Exchange,Regional Escalation Cascade,False
21,10.0,Nuclear Exchange,Automated Response Failure,False
22,13.4,Nuclear Exchange,Great Power Direct Conflict,False
23,33.8,Nuclear Exchange,Great Power Direct Conflict,False
24,4.9,Nuclear Exchange,Great Power Direct Conflict,False
25,15.9,Nuclear Exchange,False Alarm Launch,False
26,19.7,Nuclear Exchange,Regional Escalation Cascade,False
27,20.6,Nuclear Exchange,Regional Escalation Cascade,False
28,4.1,Nuclear Exchange,Regional Escalation Cascade,False
29,65.4,Nuclear Exchange,Great Power Direct Conflict,False
30,74.2,Nuclear Exchange,Regional Escalation Cascade,False
31,36.4,Nuclear Exchange,False Alarm Launch,False
32,8.0,Nuclear Exchange,False Alarm Launch,False
33,2.3,Nuclear Exchange,False Alarm Launch,False
34,25.4,Nuclear Exchange,Great Power Direct Conflict,False
35,12.8,Nuclear Exchange,Automated Response Failure,False
36,2.9,Nuclear Exchange,Regional Escalation Cascade,False
37,15.0,Nuclear Exchange,False Alarm Launch,False
38,52.8,Nuclear Exchange,Automated Response Failure,False
39,6.6,Nuclear Exchange,Automated Response Failure,False
40,23.9,Nuclear Exchange,False Alarm Launch,False
41,8.2,Nuclear Exchange,False Alarm Launch,False
